pfr_player_id,pfr_player_name,player_id,pick,round,season,pass_attempt_difference,starting_team,is_on_new_team,total_pts,total_games,points_per_game,total_targets,targets_per_game,wopr_per_game,epa_per_game,air_yards_per_game,points_ly,targets_ly,targets_pg_ly,total_games_ly,points_2y,targets_2y,targets_pg_2y,total_games_2y,points_3y,targets_3y,targets_pg_3y,total_games_3y,epa_pg_ly,wopr_pg_ly,air_yards_pg_ly,wopr_pg_2y,wopr_pg_3y,years_pro,position,total_positional_investment,targets_added_this_year,target_dropoff,combine_cluster,pfr_id
WoodMi00,Michael Woods II,00-0037300,202,6,2022,0,CLE,0,9,6,1.5,10,1.6666666666666667,0.15229677238531825,-1.289456388510492,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.28,104,199,no_combine_cluster,NA
HeywCo00,Connor Heyward,00-0037304,208,6,2022,0,PIT,0,35.800000000000004,8,4.4750000000000005,17,2.125,0.13312068790437448,0.5063906992545526,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,4,171,10,HeywCo00
HeywCo00,Connor Heyward,00-0037304,208,6,2023,0,PIT,0,20.900000000000002,5,4.180000000000001,19,3.8,0.23414260625321273,-0.5816231586213689,25.8,4.4750000000000005,17,2.125,8,0,0,0,0,0,0,0,0,0.5063906992545526,0.13312068790437448,11.5,0,0,1,TE,0.3,52,47,10,HeywCo00
KiefKo00,Ko Kieft,00-0037311,218,6,2022,0,TB,0,21,8,2.625,10,1.25,0.05464854870860075,0.5772223122039577,7.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0.25,293,241,no_combine_cluster,NA
KiefKo00,Ko Kieft,00-0037311,218,6,2023,0,TB,0,0,1,0,3,3,0.289375,-1.920011797803454,51,2.625,10,1.25,8,0,0,0,0,0,0,0,0,0.5772223122039577,0.05464854870860075,7.125,0,0,1,TE,0.11,0,217,no_combine_cluster,NA
PierAl00,Alec Pierce,00-0037664,53,2,2022,0,IND,0,112.3,16,7.01875,78,4.875,0.41055131105950765,1.2143019877322758,57.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,0,149,3,PierAl00
PierAl00,Alec Pierce,00-0037664,53,2,2023,0,IND,0,41.300000000000004,8,5.1625000000000005,30,3.75,0.3000459121690898,1.8440256157571913,55.125,7.01875,78,4.875,16,0,0,0,0,0,0,0,0,1.2143019877322758,0.41055131105950765,57.125,0,0,1,WR,0.36,94,169,3,PierAl00
TolbJa00,Jalen Tolbert,00-0037666,88,3,2022,0,DAL,0,3.2,2,1.6,3,1.5,0.14524541640324157,-0.3436667379573919,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,81,201,6,TolbJa00
TolbJa00,Jalen Tolbert,00-0037666,88,3,2023,0,DAL,0,14.100000000000001,4,3.5250000000000004,10,2.5,0.21538428745378999,0.5161767583776964,29.5,1.6,3,1.5,2,0,0,0,0,0,0,0,0,-0.3436667379573919,0.14524541640324157,22.5,0,0,1,WR,0.04,93,184,6,TolbJa00
WilsGa00,Garrett Wilson,00-0037740,10,1,2022,0,NYJ,0,216.00000000000006,17,12.70588235294118,146,8.588235294117647,0.5920183436588685,2.0899320941434305,91.29411764705883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,150,208,2,WilsGa00
WilsGa00,Garrett Wilson,00-0037740,10,1,2023,0,NYJ,0,98.5,7,14.071428571428571,68,9.714285714285714,0.8250634540910299,0.10374608424001076,104.71428571428571,12.70588235294118,146,8.588235294117647,17,0,0,0,0,0,0,0,0,2.0899320941434305,0.5920183436588685,91.29411764705883,0,0,1,WR,0,184,197,2,WilsGa00
DotsJa00,Jahan Dotson,00-0037741,16,1,2022,0,WAS,0,130.6,12,10.883333333333333,61,5.083333333333333,0.41441107918472947,1.813900880046771,71.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,0,155,2,DotsJa00
DotsJa00,Jahan Dotson,00-0037741,16,1,2023,0,WAS,0,71.1,8,8.8875,49,6.125,0.38303384156976145,-0.581481154639981,53.25,10.883333333333333,61,5.083333333333333,12,0,0,0,0,0,0,0,0,1.813900880046771,0.41441107918472947,71.08333333333333,0,0,1,WR,0,29,31,2,DotsJa00
BurkTr00,Treylon Burks,00-0037742,18,1,2022,0,TEN,0,88.1,11,8.009090909090908,54,4.909090909090909,0.43537093970221397,0.35474903174181205,57.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.12,150,295,5,BurkTr00
BurkTr00,Treylon Burks,00-0037742,18,1,2023,0,TEN,0,16.8,4,4.2,15,3.75,0.4333187549639018,-0.711076336363876,79,8.009090909090908,54,4.909090909090909,11,0,0,0,0,0,0,0,0,0.35474903174181205,0.43537093970221397,57.09090909090909,0,0,1,WR,0.05,174,190,5,BurkTr00
McBrTr01,Trey McBride,00-0037744,55,2,2022,0,ARI,0,61.50000000000001,9,6.833333333333334,39,4.333333333333333,0.2448529911602925,0.8551787052318472,26.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,176,145,10,McBrTr01
McBrTr01,Trey McBride,00-0037744,55,2,2023,0,ARI,0,57.5,8,7.1875,35,4.375,0.2765723061927869,0.3463660444453758,28.75,6.833333333333334,39,4.333333333333333,9,0,0,0,0,0,0,0,0,0.8551787052318472,0.2448529911602925,26.22222222222222,0,0,1,TE,0,35,209,10,McBrTr01
JoneVe00,Velus Jones Jr.,00-0037745,71,3,2022,0,CHI,0,38,9,4.222222222222222,14,1.5555555555555556,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,168,202,4,JoneVe00
JoneVe00,Velus Jones Jr.,00-0037745,71,3,2023,0,CHI,0,6.1,5,1.22,4,0.8,0,0,8.4,4.222222222222222,14,1.5555555555555556,9,0,0,0,0,0,0,0,0,0,0,26,0,0,1,WR,0.18,202,86,4,JoneVe00
WoodJe01,Jelani Woods,00-0037755,73,3,2022,0,IND,0,74.20000000000002,12,6.1833333333333345,40,3.3333333333333335,0.2616596135076661,0.43910879438961786,33.166666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0.08,0,149,9,WoodJe01
RuckJe00,Jeremy Ruckert,00-0037805,101,3,2022,0,NYJ,0,1.8,2,0.9,2,1,0.04998716715656609,0.02393055340507999,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,150,208,8,RuckJe00
RuckJe00,Jeremy Ruckert,00-0037805,101,3,2023,0,NYJ,0,7.6,4,1.9,5,1.25,0.07890528767138259,0.22937612900568638,9.25,0.9,2,1,2,0,0,0,0,0,0,0,0,0.02393055340507999,0.04998716715656609,3.5,0,0,1,TE,0.06,184,197,8,RuckJe00
OkonCh00,Chigoziem Okonkwo,00-0037809,143,4,2022,0,TEN,0,97.20000000000002,15,6.480000000000001,46,3.066666666666667,0.2968536795317165,1.5189062799078923,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,150,295,10,OkonCh00
OkonCh00,Chigoziem Okonkwo,00-0037809,143,4,2023,0,TEN,0,35.900000000000006,7,5.128571428571429,32,4.571428571428571,0.34688366106278057,-0.9874087809242271,30.571428571428573,6.480000000000001,46,3.066666666666667,15,0,0,0,0,0,0,0,0,1.5189062799078923,0.2968536795317165,23.4,0,0,1,TE,0.15,174,190,10,OkonCh00
DoubRo00,Romeo Doubs,00-0037816,132,4,2022,0,GB,0,101.6,13,7.815384615384615,67,5.153846153846154,0.3674822616463293,-0.18306123981404238,48.61538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.68,49,248,6,DoubRo00
