pfr_player_id,pfr_player_name,player_id,pick,round,season,pass_attempt_difference,starting_team,is_on_new_team,total_pts,total_games,points_per_game,total_targets,targets_per_game,wopr_per_game,epa_per_game,air_yards_per_game,total_wopr,pro_fr_id,estimated_pfr_id,new_pfr_id,display_name,fixed_pfr_id,season_snaps,avg_snap_rate,pts_per_snap,targets_per_snap,wopr_per_snap,points_ly,targets_ly,targets_pg_ly,total_games_ly,points_2y,targets_2y,targets_pg_2y,total_games_2y,points_3y,targets_3y,targets_pg_3y,total_games_3y,epa_pg_ly,wopr_pg_ly,air_yards_pg_ly,wopr_pg_2y,wopr_pg_3y,points_per_snap_ly,targets_per_snap_ly,wopr_per_snap_ly,total_snaps_ly,years_pro,position,total_positional_investment,targets_added_this_year,target_dropoff,combine_cluster,pfr_id,starter_qbr_ly,qbr_ly_bin
ShakKh00,Khalil Shakir,00-0037261,148,5,2022,0,BUF,0,34.1,10,3.41,20,2,0.1272882081682666,0.6693274182645771,19.5,1.272882081682666,ShakKh00,0,ShakKh00,0,0,275,66.67658367904673,0.09093333333333334,0.05333333333333334,0.003394352217820443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,74,184,4,ShakKh00,66.3,6
ShakKh00,Khalil Shakir,00-0037261,148,5,2023,0,BUF,0,46.400000000000006,8,5.800000000000001,19,2.375,0.15907604310327478,2.223232324443946,20.125,1.2726083448261982,ShakKh00,0,ShakKh00,0,0,204,65.80982986067907,0.15263157894736845,0.0625,0.004186211660612494,3.41,20,2,10,0,0,0,0,0,0,0,0,0.6693274182645771,0.1272882081682666,19.5,0,0,0.09093333333333334,0.05333333333333334,0.003394352217820443,275,1,WR,0.14,53,96,4,ShakKh00,73.4,8
WashMo00,Montrell Washington,00-0037272,162,5,2022,0,DEN,0,7.2,9,0.8,9,1,0,0,17,0,WashMo00,0,WashMo00,0,0,78,69.0750159713008,0.040449438202247195,0.05056179775280899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,41,182,no_combine_cluster,NA,60.6,5
PhilKy01,Kyle Philips,00-0037273,163,5,2022,0,TEN,0,15.8,4,3.95,13,3.25,0.2573502262534224,-0.4838934059953317,25,1.0294009050136896,PhilKy01,0,PhilKy01,0,0,64,58.8476966873706,0.09634146341463415,0.07926829268292683,0.00627683478666884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.79,150,295,4,PhilKy01,61.8,5
PhilKy01,Kyle Philips,00-0037273,163,5,2023,0,TEN,0,26.900000000000002,5,5.380000000000001,16,3.2,0.21693487450293908,0.9883103893785508,30,1.0846743725146955,PhilKy01,0,PhilKy01,0,0,80,64.18926311783454,0.14944444444444446,0.08888888888888889,0.006025968736192752,3.95,13,3.25,4,0,0,0,0,0,0,0,0,-0.4838934059953317,0.2573502262534224,25,0,0,0.09634146341463415,0.07926829268292683,0.00627683478666884,64,1,WR,0.05,174,190,4,PhilKy01,51.2,2
QuitTe00,Teagan Quitoriano,00-0037277,170,5,2022,0,HOU,0,30.3,7,4.328571428571428,14,2,0.15169910941401327,0.31375627451676075,23.571428571428573,1.061893765898093,QuitTe00,0,QuitTe00,0,0,323,63.01448108588502,0.07163120567375887,0.03309692671394799,0.0025103871534233875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,26,46,9,QuitTe00,41.2,1
QuitTe00,Teagan Quitoriano,00-0037277,170,5,2023,0,HOU,0,5.300000000000001,3,1.7666666666666668,3,1,0.0571423217049086,0.6908898715628311,5,0.1714269651147258,QuitTe00,0,QuitTe00,0,0,158,66.70986431707962,0.020542635658914732,0.011627906976744186,6.644456012198675e-4,4.328571428571428,14,2,7,0,0,0,0,0,0,0,0,0.31375627451676075,0.15169910941401327,23.571428571428573,0,0,0.07163120567375887,0.03309692671394799,0.0025103871534233875,323,1,TE,0,254,313,9,QuitTe00,NA,other
MitcJa00,James Mitchell,00-0037282,177,5,2022,0,DET,0,28.3,8,3.5375,11,1.375,0.08863986132686041,1.251216485958139,6.375,0.7091188906148833,MitcJa00,0,MitcJa00,0,0,183,66.45958174283298,0.1,0.038869257950530034,0.0025057204615366903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,22,59,8,MitcJa00,45.5,1
NailJa00,Jalen Nailor,00-0037291,191,6,2022,0,MIN,0,32.9,5,6.58,13,2.6,0.1968834398656942,1.5393515360425227,30.2,0.984417199328471,NailJa00,0,NailJa00,0,0,57,80.85533126293996,0.20955414012738852,0.08280254777070063,0.006270173244130389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,58,117,2,NailJa00,58.3,4
NailJa00,Jalen Nailor,00-0037291,191,6,2023,0,MIN,0,2.6,1,2.6,1,1,0.055275,1.09844882437028,3,0.055275,NailJa00,0,NailJa00,0,0,1,50,0.025742574257425745,0.009900990099009901,5.472772277227723e-4,6.58,13,2.6,5,0,0,0,0,0,0,0,0,1.5393515360425227,0.1968834398656942,30.2,0,0,0.20955414012738852,0.08280254777070063,0.006270173244130389,57,1,WR,0.74,57,159,2,NailJa00,52.3,3
WoodMi00,Michael Woods II,00-0037300,202,6,2022,0,CLE,0,9,6,1.5,10,1.6666666666666667,0.15229677238531825,-1.289456388510492,26.5,0.9137806343119095,0,WoodMi00,WoodMi00,0,0,155,67.26112983884467,0.03529411764705882,0.0392156862745098,0.003583453467889841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.28,104,199,no_combine_cluster,NA,52.1,3
HeywCo00,Connor Heyward,00-0037304,208,6,2022,0,PIT,0,35.800000000000004,8,4.4750000000000005,17,2.125,0.13312068790437448,0.5063906992545526,11.5,1.0649655032349958,HeywCo00,0,HeywCo00,0,0,174,67.13955128990176,0.13065693430656936,0.06204379562043796,0.003886735413266408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,4,171,10,HeywCo00,NA,other
HeywCo00,Connor Heyward,00-0037304,208,6,2023,0,PIT,0,30.700000000000003,7,4.385714285714286,26,3.7142857142857144,0.2394276671667703,-0.41954814980412314,20.285714285714285,1.675993670167392,HeywCo00,0,HeywCo00,0,0,232,61.81405933392602,0.0924698795180723,0.0783132530120482,0.00504817370532347,4.4750000000000005,17,2.125,8,0,0,0,0,0,0,0,0,0.5063906992545526,0.13312068790437448,11.5,0,0,0.13065693430656936,0.06204379562043796,0.003886735413266408,174,1,TE,0.3,52,47,10,HeywCo00,53.6,3
KiefKo00,Ko Kieft,00-0037311,218,6,2022,0,TB,0,21,8,2.625,10,1.25,0.05464854870860075,0.5772223122039577,7.125,0.437188389668806,KiefKo00,0,KiefKo00,0,0,265,71.36378162505665,0.057534246575342465,0.0273972602739726,0.0011977764100515233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0.25,293,241,no_combine_cluster,NA,73.1,8
KiefKo00,Ko Kieft,00-0037311,218,6,2023,0,TB,0,0,1,0,3,3,0.289375,-1.920011797803454,51,0.289375,KiefKo00,0,KiefKo00,0,0,117,65.43325734549138,0,0.013824884792626729,0.0013335253456221198,2.625,10,1.25,8,0,0,0,0,0,0,0,0,0.5772223122039577,0.05464854870860075,7.125,0,0,0.057534246575342465,0.0273972602739726,0.0011977764100515233,265,1,TE,0.11,0,217,no_combine_cluster,NA,26.3,1
PierAl00,Alec Pierce,00-0037664,53,2,2022,0,IND,0,112.3,16,7.01875,78,4.875,0.41055131105950765,1.2143019877322758,57.125,6.568820976952122,PierAl00,0,PierAl00,0,0,725,68.8891158192263,0.13612121212121212,0.09454545454545454,0.00796220724479045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,0,149,3,PierAl00,52.2,3
PierAl00,Alec Pierce,00-0037664,53,2,2023,0,IND,0,44.400000000000006,10,4.44,33,3.3,0.2799529302014724,1.3622483369733018,48.1,2.7995293020147236,PierAl00,0,PierAl00,0,0,583,69.31465543403894,0.0650073206442167,0.048316251830161056,0.0040988715988502546,7.01875,78,4.875,16,0,0,0,0,0,0,0,0,1.2143019877322758,0.41055131105950765,57.125,0,0,0.13612121212121212,0.09454545454545454,0.00796220724479045,725,1,WR,0.36,94,169,3,PierAl00,NA,other
TolbJa00,Jalen Tolbert,00-0037666,88,3,2022,0,DAL,0,3.2,2,1.6,3,1.5,0.14524541640324157,-0.3436667379573919,22.5,0.29049083280648313,TolbJa00,0,TolbJa00,0,0,89,68.23966408268734,0.016931216931216932,0.015873015873015872,0.0015369885333676356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,81,201,6,TolbJa00,60.5,4
TolbJa00,Jalen Tolbert,00-0037666,88,3,2023,0,DAL,0,28,5,5.6,15,3,0.23039833905394108,1.0594815657183063,38,1.1519916952697054,TolbJa00,0,TolbJa00,0,0,210,68.87615252888006,0.09032258064516129,0.04838709677419355,0.003716102242805501,1.6,3,1.5,2,0,0,0,0,0,0,0,0,-0.3436667379573919,0.14524541640324157,22.5,0,0,0.016931216931216932,0.015873015873015872,0.0015369885333676356,89,1,WR,0.04,93,184,6,TolbJa00,59.9,4
WilsGa00,Garrett Wilson,00-0037740,10,1,2022,0,NYJ,0,216.00000000000006,17,12.70588235294118,146,8.588235294117647,0.5920183436588685,2.0899320941434305,91.29411764705883,10.064311842200764,WilsGa00,0,WilsGa00,0,0,884,65.45262353264278,0.21951219512195128,0.1483739837398374,0.01022795918922842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,150,208,2,WilsGa00,NA,other
